brand,model,repair_type,parts_cost,labour_cost,,,,,,
SAMSUNG,SAMSUNG GALAXY A27,MUFA DE INCARCARE,,,,,,,,
SAMSUNG,SAMSUNG GALAXY A27,DIFUZOR,,,,,,,,
SAMSUNG,SAMSUNG GALAXY A30,DISPLAY,350,200,,,,,,
SAMSUNG,SAMSUNG GALAXY A30,BATERIE,150,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A30,CARCASA,50,100,,,,,,
SAMSUNG,SAMSUNG GALAXY A30,MUFA DE INCARCARE,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A30,DIFUZOR,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A31,DISPLAY,300,200,,,,,,
SAMSUNG,SAMSUNG GALAXY A31,BATERIE,150,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A31,CARCASA,50,100,,,,,,
SAMSUNG,SAMSUNG GALAXY A31,MUFA DE INCARCARE,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A31,DIFUZOR,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A32,DISPLAY,300,200,,,,,,
SAMSUNG,SAMSUNG GALAXY A32,BATERIE,150,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A32,CARCASA,50,100,,,,,,
SAMSUNG,SAMSUNG GALAXY A32,MUFA DE INCARCARE,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A32,DIFUZOR,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A33,DISPLAY,340,200,,,,,,
SAMSUNG,SAMSUNG GALAXY A33,BATERIE,150,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A33,CARCASA,50,100,,,,,,
SAMSUNG,SAMSUNG GALAXY A33,MUFA DE INCARCARE,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A33,DIFUZOR,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A34,DISPLAY,350,200,,,,,,
SAMSUNG,SAMSUNG GALAXY A34,BATERIE,150,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A34,CARCASA,50,100,,,,,,
SAMSUNG,SAMSUNG GALAXY A34,MUFA DE INCARCARE,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A34,DIFUZOR,50,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A35,DISPLAY,370,200,,,,,,
SAMSUNG,SAMSUNG GALAXY A35,BATERIE,150,150,,,,,,
SAMSUNG,SAMSUNG GALAXY A35,CARCASA,50,100,,,,,,
SAMSUNG,SAMSUNG GALAXY A35,MUFA DE INCARCARE,50,150,,,,,,
